Experiment Code,Barcodes,Plant Species,Genotype ID,,Treatment 1,Treatment 2,Replicate,Print Info,Print Info 2,Print Info 3,Description
EK001_N_062618,Na001AA057448,Grass,PI 222796,222796,NA,Tx1,1,222796       Tx1,,1,Salt Stress
EK001_N_062618,Na001AA057501,Grass,PI 222796,222796,NA,Tx1,2,222796       Tx1,,52,Salt Stress
EK001_N_062618,Na001AA057554,Grass,PI 222796,222796,NA,Tx1,3,222796       Tx1,,102,Salt Stress
EK001_N_062618,Na001AA057607,Grass,PI 222796,222796,NA,Tx1,4,222796       Tx1,,153,Salt Stress
EK001_N_062618,Na001AB057660,Grass,PI 222796,222796,NA,Tx2,1,222796       Tx2,,205,Salt Stress
EK001_N_062618,Na001AB057713,Grass,PI 222796,222796,NA,Tx2,2,222796       Tx2,,257,Salt Stress
EK001_N_062618,Na001AB057766,Grass,PI 222796,222796,NA,Tx2,3,222796       Tx2,,307,Salt Stress
EK001_N_062618,Na001AB057819,Grass,PI 222796,222796,NA,Tx2,4,222796       Tx2,,358,Salt Stress
EK001_N_062618,Na001AC057872,Grass,PI 222796,222796,NA,Tx3,1,222796       Tx3,,409,Salt Stress
EK001_N_062618,Na001AC057925,Grass,PI 222796,222796,NA,Tx3,2,222796       Tx3,,461,Salt Stress
EK001_N_062618,Na001AC057978,Grass,PI 222796,222796,NA,Tx3,3,222796       Tx3,,513,Salt Stress
EK001_N_062618,Na001AC058031,Grass,PI 222796,222796,NA,Tx3,4,222796       Tx3,,563,Salt Stress
EK001_N_062618,Na001AD058084,Grass,PI 222796,222796,NA,Tx4,1,222796       Tx4,,613,Salt Stress
EK001_N_062618,Na001AD058137,Grass,PI 222796,222796,NA,Tx4,2,222796       Tx4,,664,Salt Stress
EK001_N_062618,Na001AD058190,Grass,PI 222796,222796,NA,Tx4,3,222796       Tx4,,716,Salt Stress
EK001_N_062618,Na001AD058243,Grass,PI 222796,222796,NA,Tx4,4,222796       Tx4,,767,Salt Stress
EK001_N_062618,Na001AE058296,Grass,PI 222796,222796,NA,Tx5,1,222796       Tx5,,817,Salt Stress
EK001_N_062618,Na001AE058349,Grass,PI 222796,222796,NA,Tx5,2,222796       Tx5,,868,Salt Stress
EK001_N_062618,Na001AE058402,Grass,PI 222796,222796,NA,Tx5,3,222796       Tx5,,920,Salt Stress
EK001_N_062618,Na001AE058455,Grass,PI 222796,222796,NA,Tx5,4,222796       Tx5,,971,Salt Stress
EK001_N_062618,Na002AA057449,Grass,PI 284500,284500,NA,Tx1,1,284500       Tx1,,2,Salt Stress
EK001_N_062618,Na002AA057502,Grass,PI 284500,284500,NA,Tx1,2,284500       Tx1,,53,Salt Stress
EK001_N_062618,Na002AA057555,Grass,PI 284500,284500,NA,Tx1,3,284500       Tx1,,103,Salt Stress
EK001_N_062618,Na002AA057608,Grass,PI 284500,284500,NA,Tx1,4,284500       Tx1,,154,Salt Stress
EK001_N_062618,Na002AB057661,Grass,PI 284500,284500,NA,Tx2,1,284500       Tx2,,206,Salt Stress
EK001_N_062618,Na002AB057714,Grass,PI 284500,284500,NA,Tx2,2,284500       Tx2,,258,Salt Stress
EK001_N_062618,Na002AB057767,Grass,PI 284500,284500,NA,Tx2,3,284500       Tx2,,308,Salt Stress
EK001_N_062618,Na002AB057820,Grass,PI 284500,284500,NA,Tx2,4,284500       Tx2,,359,Salt Stress
EK001_N_062618,Na002AC057873,Grass,PI 284500,284500,NA,Tx3,1,284500       Tx3,,410,Salt Stress
EK001_N_062618,Na002AC057926,Grass,PI 284500,284500,NA,Tx3,2,284500       Tx3,,462,Salt Stress
EK001_N_062618,Na002AC057979,Grass,PI 284500,284500,NA,Tx3,3,284500       Tx3,,514,Salt Stress
EK001_N_062618,Na002AC058032,Grass,PI 284500,284500,NA,Tx3,4,284500       Tx3,,564,Salt Stress
EK001_N_062618,Na002AD058085,Grass,PI 284500,284500,NA,Tx4,1,284500       Tx4,,614,Salt Stress
EK001_N_062618,Na002AD058138,Grass,PI 284500,284500,NA,Tx4,2,284500       Tx4,,665,Salt Stress
EK001_N_062618,Na002AD058191,Grass,PI 284500,284500,NA,Tx4,3,284500       Tx4,,717,Salt Stress
EK001_N_062618,Na002AD058244,Grass,PI 284500,284500,NA,Tx4,4,284500       Tx4,,768,Salt Stress
EK001_N_062618,Na002AE058297,Grass,PI 284500,284500,NA,Tx5,1,284500       Tx5,,818,Salt Stress
EK001_N_062618,Na002AE058350,Grass,PI 284500,284500,NA,Tx5,2,284500       Tx5,,869,Salt Stress
EK001_N_062618,Na002AE058403,Grass,PI 284500,284500,NA,Tx5,3,284500       Tx5,,921,Salt Stress
EK001_N_062618,Na002AE058456,Grass,PI 284500,284500,NA,Tx5,4,284500       Tx5,,972,Salt Stress
EK001_N_062618,Na003AA057450,Grass,PI 347894,347894,NA,Tx1,1,347894       Tx1,,3,Salt Stress
EK001_N_062618,Na003AA057503,Grass,PI 347894,347894,NA,Tx1,2,347894       Tx1,,54,Salt Stress
EK001_N_062618,Na003AA057556,Grass,PI 347894,347894,NA,Tx1,3,347894       Tx1,,104,Salt Stress
EK001_N_062618,Na003AA057609,Grass,PI 347894,347894,NA,Tx1,4,347894       Tx1,,155,Salt Stress
EK001_N_062618,Na003AB057662,Grass,PI 347894,347894,NA,Tx2,1,347894       Tx2,,207,Salt Stress
EK001_N_062618,Na003AB057715,Grass,PI 347894,347894,NA,Tx2,2,347894       Tx2,,259,Salt Stress
EK001_N_062618,Na003AB057768,Grass,PI 347894,347894,NA,Tx2,3,347894       Tx2,,309,Salt Stress
EK001_N_062618,Na003AB057821,Grass,PI 347894,347894,NA,Tx2,4,347894       Tx2,,360,Salt Stress
EK001_N_062618,Na003AC057874,Grass,PI 347894,347894,NA,Tx3,1,347894       Tx3,,411,Salt Stress
EK001_N_062618,Na003AC057927,Grass,PI 347894,347894,NA,Tx3,2,347894       Tx3,,463,Salt Stress
EK001_N_062618,Na003AC057980,Grass,PI 347894,347894,NA,Tx3,3,347894       Tx3,,515,Salt Stress
EK001_N_062618,Na003AC058033,Grass,PI 347894,347894,NA,Tx3,4,347894       Tx3,,565,Salt Stress
EK001_N_062618,Na003AD058086,Grass,PI 347894,347894,NA,Tx4,1,347894       Tx4,,615,Salt Stress
EK001_N_062618,Na003AD058139,Grass,PI 347894,347894,NA,Tx4,2,347894       Tx4,,666,Salt Stress
EK001_N_062618,Na003AD058192,Grass,PI 347894,347894,NA,Tx4,3,347894       Tx4,,718,Salt Stress
EK001_N_062618,Na003AD058245,Grass,PI 347894,347894,NA,Tx4,4,347894       Tx4,,769,Salt Stress
EK001_N_062618,Na003AE058298,Grass,PI 347894,347894,NA,Tx5,1,347894       Tx5,,819,Salt Stress
EK001_N_062618,Na003AE058351,Grass,PI 347894,347894,NA,Tx5,2,347894       Tx5,,870,Salt Stress
EK001_N_062618,Na003AE058404,Grass,PI 347894,347894,NA,Tx5,3,347894       Tx5,,922,Salt Stress
EK001_N_062618,Na003AE058457,Grass,PI 347894,347894,NA,Tx5,4,347894       Tx5,,973,Salt Stress
EK001_N_062618,Na004AA057451,Grass,PI 364836,364836,NA,Tx1,1,364836       Tx1,,4,Salt Stress
EK001_N_062618,Na004AA057504,Grass,PI 364836,364836,NA,Tx1,2,364836       Tx1,,55,Salt Stress
EK001_N_062618,Na004AA057557,Grass,PI 364836,364836,NA,Tx1,3,364836       Tx1,,105,Salt Stress
EK001_N_062618,Na004AA057610,Grass,PI 364836,364836,NA,Tx1,4,364836       Tx1,,156,Salt Stress
EK001_N_062618,Na004AB057663,Grass,PI 364836,364836,NA,Tx2,1,364836       Tx2,,208,Salt Stress
EK001_N_062618,Na004AB057716,Grass,PI 364836,364836,NA,Tx2,2,364836       Tx2,,260,Salt Stress
