Sample ID,species designation,Collection Location,Collection State,Collection Latitude,Collection Longitude,Ecotype,Inferred ploidy,Unique genotype ID,Genome size relative to PI509022,F value,rpl16 GenBank Accession ,,plant.date,"Table S1  Information for all samples including collection location, taxonomic and genotype labels, and data used to infer ploidy"
DG046,vaginatum,Empire,Louisiana,29.4924,-89.7083,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG050,vaginatum,Pilottown,Louisiana,29.2484,-89.3744,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG051,vaginatum,Pilotown,Louisiana,29.2484,-89.3744,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG053,vaginatum,Port Fourchon,Louisiana,29.2437,-90.2063,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG055,vaginatum,Port Fourchon,Louisiana,29.2437,-90.2063,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG056,vaginatum,Port Fourchon,Louisiana,29.2437,-90.2063,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG057,vaginatum,Port Fourchon,Louisiana,29.1707,-90.1924,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG065,vaginatum,Cypremort Point,Louisiana,29.7334,-91.8513,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG069,vaginatum,Holly Beach,Louisiana,29.7699,-93.4568,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG070,vaginatum,Holly Beach,Louisiana,29.7699,-93.4568,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG071,vaginatum,Holly Beach,Louisiana,29.7698,-93.4542,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG073,vaginatum,Holly Beach,Louisiana,29.7698,-93.4467,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG074,vaginatum,Holly Beach,Louisiana,29.7684,-93.4142,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG075,vaginatum,Holly Beach,Louisiana,29.7677,-93.396,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG077,vaginatum,Mandeville,Louisiana,30.3789,-90.316,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG080,vaginatum,Near Gulf Coast Research Laboratory,Mississippi,30.3923,-88.7999,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG081,vaginatum,Near Gulf Coast Research Laboratory,Mississippi,30.3923,-88.7999,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG083,vaginatum,Near Gulf Coast Research Laboratory,Mississippi,30.3923,-88.7999,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG087,vaginatum,Dauphin Island,Alabama,30.2495,-88.1921,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG095,vaginatum,Corpus Christi,Texas,27.6625,-97.2769,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG097,vaginatum,Rockport,Texas,28.027,-97.047,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG099,vaginatum,Lamar,Texas,28.1422,-96.976,Coarse-textured,3x,coarse_01,,,MT361656,,6/26/18,
DG102,vaginatum,Seadrift,Texas,28.4077,-96.7123,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG103,vaginatum,Seadrift,Texas,28.3895,-96.7097,Coarse-textured,3x,coarse_01,,,,,6/26/18,
DG104,vaginatum,Port O'Conor,Texas,28.4514,-96.4046,Coarse-textured,3x,coarse_01,,,,,6/26/18,
