plant,fresh,dry
Na001AA057501,13.58,2.12
Na058AA058593,10.9,1.72
Na055AD058521,3.4,0.61
Na023AD058265,6.62,1.32
Na009AE058410,5.9,1.12
Na054AB058509,4.27,0.83
Na021AE058475,0.94,0.28
Na006AC057930,10.57,2.11
Na001AB057713,8.36,1.81
Na001AC057925,13.02,2.35
Na006AB057718,3.63,1.04
Na006AD058142,4.22,1.03
Na009AB057721,11.97,2.48
Na009AB057827,8.81,1.78
Na023AE058371,27.26,4.86
Na030AD058219,7.34,1.12
Na009AC057986,11.12,2.32
Na009AA057509,4.7,0.9
Na009AD058251,9.7,2.28
Na030AC057954,dead,dead
Na028AA057528,0.4,0.11
Na001AD058137,2.1,0.74
Na050AA057550,1.56,0.29
Na023AE058424,32.5,5.84
Na056AE058527,0.62,0.12
Na006AA057612,11.29,2.28
Na023AB057735,4.23,1.3
Na049AE058503,0.12,0.04
Na030AE058484,25.1,3.53
Na058AD058596,0.9,0.15
Na043AE058497,0.08,0.03
Na006AE058460,4.24,0.71
Na030AA057530,dead,dead
Na030AB057742,6.88,1.37
Na006AE058354,8.45,1.79
Na023AC058053,13.76,3.01
Na001AE058455,3.54,0.48
Na049AC058079,0.82,0.15
Na023AC057947,18.16,3.81
Na056AA058523,1.96,0.38
Na054AE058512,5.04,0.91
Na054AD058511,5.71,0.88
Na055AE058522,4.29,0.65
Na009AC057933,6.37,1.26
Na030AC058007,11.23,1.66
Na037AC058014,4.38,0.93
Na006AB057824,7.56,1.94
Na009AE058463,7.1,1.45
Na023AE058477,25.68,5.07
Na009AE058357,7.84,1.54
Na057AA058513,6.33,1.08
Na009AD058198,3.13,0.64
Na001AA057554,dead,dead
Na023AA057523,4.51,1.29
Na023AA057629,5.12,1.19
Na001AD058243,3.17,0.69
Na023AB057788,6.03,1.84
Na030AE058431,14.37,2.5
Na030AA057636,2.97,0.36
Na009AA057615,6.34,1.14
Na006AD058248,6.8,1.58
Na001AC057978,14.72,2.55
Na006AA057559,10.22,1.94
Na001AB057766,11.7,2.9
Na009AA057562,5.01,1.26
Na001AE058349,11.04,2.39
Na023AA057576,8,1.98
Na030AC058060,11.69,2.02
Na023AD058159,7.99,1.78
Na030AD058166,6.65,1.81
Na030AB057848,1.72,0.35
Na006AC058036,4.9,1.08
Na009AB057774,6.29,1.65
Na006AB057771,7.85,1.95
Na030AD058272,0.48,0.08
Na055AB058519,8.59,1.53
Na054AA058508,4.5,0.96
Na001AB057819,7.25,1.75
Na030AA057583,10.82,1.92
Na001AA057448,13.69,2.05
Na054AC058510,7.99,1.4
Na055AC058520,5.4,0.81
Na006AC057877,11.71,2.31
Na009AA057456,8.36,1.54
Na057AC058515,8,1.43
Na056AB058524,7.21,1.24
Na009AB057668,9.05,1.7
Na023AA057470,3.38,0.76
Na006AE058301,7.93,1.53
Na009AD058092,2.89,0.48
Na006AA057453,11.38,1.58
Na001AB057660,8.71,1.77
Na058AC058595,6.84,1.29
Na030AE058325,13.5,2.25
Na023AD058106,3.07,0.78
Na009AC057880,10.8,2
Na001AC057872,12.51,2.73
Na023AB057682,11.19,2.52
Na056AC058525,8.14,1.16
Na006AD058089,5.3,1.32
Na023AC058000,20.37,3.97
Na030AE058378,12.3,2.01
Na030AA057477,16.8,2.06
Na043AD058126,0.29,0.06
Na030AC057901,3.21,0.45
Na030AD058113,Na,0.93
Na001AA057607,14.22,2.63
Na006AD058195,9.37,2.12
Na001AE058296,16.26,3.08
Na001AC058031,11.25,2.1
Na001AD058190,7.65,1.37
Na006AE058407,8.66,1.65
Na009AE058304,6.43,0.95
Na006AC057983,7.38,1.73
Na001AD058084,0.34,0.2
Na006AA057506,6.85,1.65
Na030AB057795,0.47,0.08
Na009AD058145,3.95,0.69
Na030AB057689,14.23,3.21
Na023AC057894,4.83,1.25
Na023AE058318,19.98,3.2
Na006AB057665,14.61,2.97
Na023AD058212,9.29,2.74
Na023AB057841,5.79,1.64
Na058AE058597,8.71,1.99
Na001AE058402,9.2,1.54
Na009AC058039,7.28,1.36
